Time,timeFromLastRepair,timeToNextRepair
40568.65,0.82708333,23.59097
40568.65208333,0.82916666,23.58888667
40568.65416667,0.83125,23.58680333
40568.65625,0.83333333,23.58472
40568.65833333,0.83541666,23.58263667
40568.66041667,0.8375,23.58055333
40568.6625,0.83958333,23.57847
40568.66458333,0.84166666,23.57638667
40568.66666667,0.84375,23.57430333
40568.66875,0.84583333,23.57222
40568.67083333,0.84791666,23.57013667
40568.67291667,0.85,23.56805333
40568.675,0.85208333,23.56597
40568.67708333,0.85416666,23.56388667
40568.67916667,0.85625,23.56180333
40568.68125,0.85833333,23.55972
40568.68333333,0.86041666,23.55763667
40568.68541667,0.8625,23.55555333
40568.6875,0.86458333,23.55347
40568.68958333,0.86666666,23.55138667
40568.69166667,0.86875,23.54930333
40568.69375,0.87083333,23.54722
40568.69583333,0.87291666,23.54513667
40568.69791667,0.875,23.54305333
40568.7,0.87708333,23.54097
40568.70208333,0.87916666,23.53888667
40568.70416667,0.88125,23.53680333
40568.70625,0.88333333,23.53472
40568.70833333,0.88541666,23.53263667
40568.71041667,0.8875,23.53055333
40568.7125,0.88958333,23.52847
40568.71458333,0.89166666,23.52638667
40568.71666667,0.89375,23.52430333
40568.71875,0.89583333,23.52222
40568.72083333,0.89791666,23.52013667
40568.72291667,0.9,23.51805333
40568.725,0.90208333,23.51597
40568.72708333,0.90416666,23.51388667
40568.72916667,0.90625,23.51180333
40568.73125,0.90833333,23.50972
40568.73333333,0.91041666,23.50763667
40568.73541667,0.9125,23.50555333
40568.7375,0.91458333,23.50347
40568.73958333,0.91666666,23.50138667
40568.74166667,0.91875,23.49930333
40568.74375,0.92083333,23.49722
40568.74583333,0.92291666,23.49513667
40568.74791667,0.925,23.49305333
40568.75,0.92708333,23.49097
40568.75208333,0.92916666,23.48888667
40568.75416667,0.93125,23.48680333
40568.75625,0.93333333,23.48472
40568.75833333,0.93541666,23.48263667
40568.76041667,0.9375,23.48055333
40568.7625,0.93958333,23.47847
40568.76458333,0.94166666,23.47638667
40568.76666667,0.94375,23.47430333
40568.76875,0.94583333,23.47222
40568.77083333,0.94791666,23.47013667
40568.77291667,0.95,23.46805333
40568.775,0.95208333,23.46597
40568.77708333,0.95416666,23.46388667
40568.77916667,0.95625,23.46180333
40568.78125,0.95833333,23.45972
40568.78333333,0.96041666,23.45763667
40568.78541667,0.9625,23.45555333
40568.7875,0.96458333,23.45347
40568.78958333,0.96666666,23.45138667
40568.79166667,0.96875,23.44930333
40568.79375,0.97083333,23.44722
40568.79583333,0.97291666,23.44513667
40568.79791667,0.975,23.44305333
40568.8,0.97708333,23.44097
40568.80208333,0.97916666,23.43888667
40568.80416667,0.98125,23.43680333
40568.80625,0.98333333,23.43472
40568.80833333,0.98541666,23.43263667
40568.81041667,0.9875,23.43055333
40568.8125,0.98958333,23.42847
40568.81458333,0.99166666,23.42638667
40568.81666667,0.99375,23.42430333
40568.81875,0.99583333,23.42222
40568.82083333,0.99791666,23.42013667
40568.82291667,1,23.41805333
40568.825,1.00208333,23.41597
40568.82708333,1.00416666,23.41388667
40568.82916667,1.00625,23.41180333
40568.83125,1.00833333,23.40972
40568.83333333,1.01041666,23.40763667
40568.83541667,1.0125,23.40555333
40568.8375,1.01458333,23.40347
40568.83958333,1.01666666,23.40138667
40568.84166667,1.01875,23.39930333
40568.84375,1.02083333,23.39722
40568.84583333,1.02291666,23.39513667
40568.84791667,1.025,23.39305333
40568.85,1.02708333,23.39097
40568.85208333,1.02916666,23.38888667
40568.85416667,1.03125,23.38680333
40568.85625,1.03333333,23.38472
40568.85833333,1.03541666,23.38263667
40568.86041667,1.0375,23.38055333
40568.8625,1.03958333,23.37847
40568.86458333,1.04166666,23.37638667
40568.86666667,1.04375,23.37430333
40568.86875,1.04583333,23.37222
40568.87083333,1.04791666,23.37013667
40568.87291667,1.05,23.36805333
40568.875,1.05208333,23.36597
40568.87708333,1.05416666,23.36388667
40568.87916667,1.05625,23.36180333
40568.88125,1.05833333,23.35972
40568.88333333,1.06041666,23.35763667
40568.88541667,1.0625,23.35555333
40568.8875,1.06458333,23.35347
40568.88958333,1.06666666,23.35138667
40568.89166667,1.06875,23.34930333
40568.89375,1.07083333,23.34722
40568.89583333,1.07291666,23.34513667
40568.89791667,1.075,23.34305333
40568.9,1.07708333,23.34097
40568.90208333,1.07916666,23.33888667
40568.90416667,1.08125,23.33680333
40568.90625,1.08333333,23.33472
40568.90833333,1.08541666,23.33263667
40568.91041667,1.0875,23.33055333
40568.9125,1.08958333,23.32847
40568.91458333,1.09166666,23.32638667
40568.91666667,1.09375,23.32430333
40568.91875,1.09583333,23.32222
40568.92083333,1.09791666,23.32013667
40568.92291667,1.1,23.31805333
40568.925,1.10208333,23.31597
40568.92708333,1.10416666,23.31388667
40568.92916667,1.10625,23.31180333
40568.93125,1.10833333,23.30972
40568.93333333,1.11041666,23.30763667
40568.93541667,1.1125,23.30555333
40568.9375,1.11458333,23.30347
40568.93958333,1.11666666,23.30138667
40568.94166667,1.11875,23.29930333
40568.94375,1.12083333,23.29722
40568.94583333,1.12291666,23.29513667
40568.94791667,1.125,23.29305333
40568.95,1.12708333,23.29097
40568.95208333,1.12916666,23.28888667
40568.95416667,1.13125,23.28680333
40568.95625,1.13333333,23.28472
40568.95833333,1.13541666,23.28263667
40568.96041667,1.1375,23.28055333
40568.9625,1.13958333,23.27847
40568.96458333,1.14166666,23.27638667
40568.96666667,1.14375,23.27430333
40568.96875,1.14583333,23.27222
40568.97083333,1.14791666,23.27013667
40568.97291667,1.15,23.26805333
40568.975,1.15208333,23.26597
40568.97708333,1.15416666,23.26388667
40568.97916667,1.15625,23.26180333
40568.98125,1.15833333,23.25972
40568.98333333,1.16041666,23.25763667
40568.98541667,1.1625,23.25555333
40568.9875,1.16458333,23.25347
40568.98958333,1.16666666,23.25138667
40568.99166667,1.16875,23.24930333
40568.99375,1.17083333,23.24722
40568.99583333,1.17291666,23.24513667
40568.99791667,1.175,23.24305333
40569,1.17708333,23.24097
40569.00208333,1.17916666,23.23888667
40569.00416667,1.18125,23.23680333
40569.00625,1.18333333,23.23472
40569.00833333,1.18541666,23.23263667
40569.01041667,1.1875,23.23055333
40569.0125,1.18958333,23.22847
40569.01458333,1.19166666,23.22638667
40569.01666667,1.19375,23.22430333
40569.01875,1.19583333,23.22222
40569.02083333,1.19791666,23.22013667
40569.02291667,1.2,23.21805333
40569.025,1.20208333,23.21597
40569.02708333,1.20416666,23.21388667
40569.02916667,1.20625,23.21180333
40569.03125,1.20833333,23.20972
40569.03333333,1.21041666,23.20763667
40569.03541667,1.2125,23.20555333
40569.0375,1.21458333,23.20347
40569.03958333,1.21666666,23.20138667
40569.04166667,1.21875,23.19930333
40569.04375,1.22083333,23.19722
40569.04583333,1.22291666,23.19513667
40569.04791667,1.225,23.19305333
40569.05,1.22708333,23.19097
40569.05208333,1.22916666,23.18888667
40569.05416667,1.23125,23.18680333
40569.05625,1.23333333,23.18472
40569.05833333,1.23541666,23.18263667
40569.06041667,1.2375,23.18055333
40569.0625,1.23958333,23.17847
40569.06458333,1.24166666,23.17638667
40569.06666667,1.24375,23.17430333
40569.06875,1.24583333,23.17222
40569.07083333,1.24791666,23.17013667
40569.07291667,1.25,23.16805333
40569.075,1.25208333,23.16597
40569.07708333,1.25416666,23.16388667
